vehicle,level_1,datetime,speed,x,y,heading,vehicletype,time_interval,distance,heading_interval,trip
50LD10138,1,4/27/2018 8:18,13.2,106.67255,10.770641,243.8154099,200,6,35.3460429,5.765900528,27
50LD10138,2,4/27/2018 8:19,10.8,106.67226,10.7705,243.0127794,200,12,104.3371061,0.802630446,27
50LD10138,3,4/27/2018 8:19,17.829,106.67141,10.770072,248.3312394,200,21,16.47060657,5.318459953,27
50LD10138,4,4/27/2018 8:20,12,106.67127,10.770017,239.6048668,200,41,101.4833189,8.726372551,27
50LD10138,5,4/27/2018 8:20,18,106.67047,10.769553,245.0511438,200,24,6.030946016,5.446276933,27
50LD10138,6,4/27/2018 8:20,7.2,106.67042,10.76953,221.9519892,200,3,9.839540913,23.09915456,27
50LD10138,7,4/27/2018 8:20,18.182,106.67036,10.769464,221.9519892,200,6,14.43889473,14.54445843,27
50LD10138,0,4/27/2018 8:20,16.8,106.67025,10.769392,245.6413683,200,3,309.7145093,9.144920649,28
50LD10138,1,4/27/2018 8:21,8.6,106.66767,10.768237,247.0752089,200,60,13.05944224,1.433840596,28
50LD10138,2,4/27/2018 8:21,7.8,106.66756,10.768191,236.0935677,200,6,84.9346354,10.98164122,28
50LD10138,3,4/27/2018 8:22,15.966,106.666916,10.767763,237.4789534,200,26,11.94121593,1.385385773,28
50LD10138,4,4/27/2018 8:22,9.6,106.666824,10.767705,238.3957341,200,9,116.1545786,0.916780634,28
50LD10138,5,4/27/2018 8:23,8.4,106.66592,10.767155,238.3957341,200,49,168.0967247,0.83852393,28
50LD10138,0,4/27/2018 9:22,39.6,106.66877,10.768605,61.25114726,200,18,230.8475388,0.083185537,29
50LD10138,1,4/27/2018 9:22,28.696,106.67062,10.7696085,60.91526272,200,29,37.5573535,0.335884541,29
50LD10138,2,4/27/2018 9:22,18.974,106.67092,10.7697735,37.61332912,200,7,5.391326301,23.3019336,29
50LD10138,3,4/27/2018 9:22,7.2,106.67095,10.769812,37.61332912,200,3,199.0808585,23.28785294,29
50LD10138,0,4/27/2018 10:23,16.56,106.6722,10.770436,244.3407048,200,3630,19.41365526,11.08633923,30
50LD10138,1,4/27/2018 10:24,10.8,106.67204,10.77036,245.7965507,200,19,21.58117174,1.455845835,30
50LD10138,2,4/27/2018 10:24,8.4,106.67186,10.77028,245.7965507,200,9,7.30449659,1.846894811,30
50LD10138,0,4/27/2018 10:26,36.398,106.667435,10.767881,241.638454,200,150,277.8571567,0.410008027,31
50LD10138,1,4/27/2018 10:27,35.717,106.6652,10.766688,237.5558767,200,28,9.077905523,4.082577341,31
50LD10138,2,4/27/2018 10:27,10.8,106.66513,10.766644,232.7488643,200,3,71.53266751,4.807012374,31
50LD10138,3,4/27/2018 10:27,10,106.66461,10.766253,232.7488643,200,25,18.45512619,2.258895406,31
50LD10138,0,4/27/2018 11:27,30.256,106.66573,10.76702,61.68136236,200,9,397.6618298,0.370349384,32
50LD10138,1,4/27/2018 11:28,30.311,106.66893,10.768725,57.22561216,200,49,152.9458545,4.455750192,32
50LD10138,2,4/27/2018 11:28,19.13,106.670105,10.769473,67.97468046,200,29,1.769169012,10.7490683,32
