vehicle,level_1,datetime,speed,x,y,heading,vehicletype,time_interval,distance,heading_interval,trip,ts
50LD10215,3,2018-04-27 09:56:21,5.0,106.66519,10.766642,235.43410310877206,200,10,21.26927525209457,3.8618681004925577,23,1524822981
50LD10215,4,2018-04-27 09:56:31,8.0,106.66503,10.766533,235.43410310877206,200,10,47.2722966620476,3.470197801928549,23,1524822991
50LD10225,0,2018-04-27 04:56:28,3.0,106.67175,10.770198,239.97575400930617,200,30,70.76841762623519,7.115290588749247,24,1524804988
50LD10225,1,2018-04-27 04:56:58,3.0,106.67119,10.769878,231.91072927612637,200,30,5.565456051686068,8.065024733179797,24,1524805018
50LD10225,2,2018-04-27 04:57:28,1.0,106.67115,10.769847,227.69101012208358,200,30,1.4814764482279354,4.219719154042792,24,1524805048
50LD10225,3,2018-04-27 04:57:38,1.0,106.67114,10.769838,225.64777622772993,200,10,4.597582003685159,2.043233894353648,24,1524805058
50LD10225,4,2018-04-27 04:57:58,1.0,106.67111,10.769809,225.64777622772993,200,20,4.08107580633795,13.113169589146707,24,1524805078
50LD10225,0,2018-04-27 09:49:58,11.0,106.66641,10.767462,238.41477693220907,200,10,113.04758412854366,1.5092649433511554,25,1524822598
50LD10225,1,2018-04-27 09:50:28,7.0,106.66553,10.766927,229.00922807747932,200,30,39.184217840385024,9.405548854729744,25,1524822628
50LD10225,2,2018-04-27 09:50:48,3.0,106.66526,10.766695,246.7410084833657,200,20,14.28260438867229,17.731780405886383,25,1524822648
50LD10225,3,2018-04-27 09:51:28,1.0,106.66514,10.766644,243.71475956540215,200,40,26.22810441666614,3.0262489179635566,25,1524822688
50LD10225,4,2018-04-27 09:51:48,4.0,106.664925,10.766539,225.80045990913297,200,20,39.74209407532716,17.91429965626918,25,1524822708
50LD10225,5,2018-04-27 09:52:18,4.0,106.664665,10.766289,225.80045990913297,200,30,38.81009386915799,13.508728171042321,25,1524822738
50LD10225,0,2018-04-27 11:56:28,19.0,106.66951,10.769083,245.64879771998704,200,10,169.25241700074702,3.8753703488992812,26,1524830188
50LD10225,1,2018-04-27 11:56:48,28.0,106.6681,10.768452,255.91181242689655,200,20,30.420365572151958,10.263014706909502,26,1524830208
50LD10225,2,2018-04-27 11:56:58,12.0,106.66783,10.768385,244.94550711590517,200,10,54.32594705631559,10.966305310991373,26,1524830218
50LD10225,3,2018-04-27 11:57:08,16.0,106.66738,10.768177,240.82701242480235,200,10,31.325117283072913,4.118494691102825,26,1524830228
50LD10225,4,2018-04-27 11:57:48,5.0,106.66713,10.768039,229.4300081251477,200,40,25.379712537689954,11.39700429965464,26,1524830268
50LD10225,5,2018-04-27 11:57:58,10.0,106.666954,10.76789,236.755131037107,200,10,42.40190862241338,7.325122911959284,26,1524830278
50LD10225,6,2018-04-27 11:58:08,15.0,106.66663,10.76768,236.755131037107,200,10,0.0,0.0,26,1524830288
50LD10243,0,2018-04-27 00:05:53,14.118,106.664566,10.766328,61.26477177661874,100,10,201.3739662989522,0.18505856584759783,27,1524787553
50LD10243,1,2018-04-27 00:06:26,21.176,106.66618,10.767203,75.42256832768527,100,33,15.808456946982002,14.157796551066532,27,1524787586
50LD10243,2,2018-04-27 00:06:29,19.2,106.66632,10.767239,58.90183909764998,100,3,35.78213362775942,16.520729230035286,27,1524787589
50LD10243,3,2018-04-27 00:06:38,14.4,106.6666,10.767406,54.703762346209594,100,9,9.389222161230908,4.198076751440389,27,1524787598
50LD10243,4,2018-04-27 00:07:02,10.8,106.66667,10.767455,59.6946353408907,100,24,19.5175826946951,4.990872994681105,27,1524787622
50LD10243,5,2018-04-27 00:07:08,12.0,106.666824,10.767544,59.6946353408907,100,6,25.35145890961709,3.0346429429793176,27,1524787628
50LD10243,0,2018-04-27 02:08:32,16.59,106.67049,10.769565,49.65092914530131,100,43,7.186255505996243,11.420228671408971,28,1524794912
50LD10243,1,2018-04-27 02:08:35,9.6,106.67054,10.769607,53.30627772206454,100,3,15.566603735549185,3.655348576763231,28,1524794915
50LD10243,2,2018-04-27 02:08:41,9.6,106.670654,10.769691,56.84884239844394,100,6,12.549881140826148,3.542564676379399,28,1524794921
