y,x,ts,trip
10.76804,106.667,1524814606,14795
10.77185,106.6655,1524817042,14798
10.77113,106.6658,1524817062,14798
10.76931,106.6701,1524817222,14801
10.7699,106.6711,1524817282,14801
10.76666,106.6673,1524793223,14802
10.76749,106.6672,1524793273,14802
10.76749,106.67163,1524819430,14805
10.76783,106.67106,1524819460,14805
10.767969,106.66932,1524819550,14806
10.767975,106.669136,1524819570,14806
10.7679825,106.66881,1524819580,14806
10.769543,106.670525,1524819680,14807
10.769822,106.671,1524819700,14807
10.770092,106.67148,1524819710,14807
10.770443,106.67209,1524819720,14807
10.770079,106.67155,1524810331,14808
10.77003,106.67147,1524810335,14808
10.769825,106.67105,1524810391,14808
10.76768,106.6675,1524788294,14811
10.76788,106.6688,1524788314,14811
10.76784,106.6701,1524788334,14811
10.76921,106.669815,1524872188,14818
10.76862,106.66873,1524872198,14818
10.76996,106.6712,1524797595,14821
10.76981,106.6708,1524797615,14821
10.76927,106.6696,1524797635,14821
10.7687,106.6685,1524797655,14821
10.76813,106.6675,1524797695,14821
10.76893,106.6665,1524797775,14822
10.76962,106.6662,1524797794,14822
10.77089,106.6657,1524797834,14823
10.77127,106.6656,1524797854,14823
10.77193,106.6653,1524797954,14824
10.77203,106.6653,1524797974,14824
10.76865,106.6666,1524805713,14826
10.768,106.667,1524805733,14826
10.76795,106.6686,1524805773,14827
10.76792,106.6695,1524805793,14827
10.76784,106.6708,1524805813,14827
10.76939,106.6663,1524806645,14830
10.77042,106.6659,1524806675,14830
10.77128,106.6655,1524806705,14830
10.7716,106.6655,1524806735,14830
10.767831,106.67188,1524829470,14831
10.767834,106.67181,1524829480,14831
10.76798,106.6694,1524829520,14832
10.768017,106.66872,1524829530,14832
10.768159,106.66801,1524829540,14832
10.7681675,106.66779,1524829550,14832
10.769876,106.66615,1524829590,14833
10.770717,106.66584,1524829600,14833
10.771411,106.66557,1524829610,14833
10.771957,106.66532,1524829620,14833
10.7678585,106.67234,1524834940,14834
10.767868,106.67173,1524834950,14834
10.767967,106.66959,1524835000,14835
10.767964,106.669304,1524835010,14835
10.7680025,106.668816,1524835020,14835
10.76806,106.66827,1524835030,14835
10.768177,106.66798,1524835040,14835
10.767941,106.667336,1524835060,14835
10.7684965,106.666794,1524835080,14835
10.768887,106.66662,1524835090,14835
10.769746,106.666245,1524835110,14835
10.770265,106.66608,1524835120,14835
10.769186,106.6664,1524836180,14838
10.767981,106.66695,1524836210,14838
10.767881,106.66699,1524836220,14838
10.767643,106.66707,1524836230,14838
10.772114,106.6714,1524846040,14840
10.771676,106.67065,1524846060,14840
10.771301,106.67004,1524846080,14840
10.771036,106.670105,1524846090,14840
10.770735,106.67029,1524846100,14840
10.77036,106.67043,1524846110,14840
10.769772,106.670784,1524846140,14840
10.7689705,106.66942,1524846170,14841
10.768707,106.66884,1524846180,14841
10.768466,106.66829,1524846190,14841
10.768224,106.66782,1524846200,14841
10.768123,106.66703,1524846220,14841
10.768662,106.666756,1524846230,14841
10.771901,106.66535,1524856210,14843
10.7709055,106.665726,1524856220,14843
10.768888,106.66656,1524856240,14844
10.767887,106.667,1524856250,14844
10.766904,106.66729,1524856260,14844
10.766005,106.66749,1524856270,14844
10.765602,106.66678,1524856290,14844
10.766615,106.66733,1524856440,14845
10.76749,106.66709,1524856460,14845
10.76557,106.6669,1524803206,14847
10.76638,106.6673,1524803266,14847
10.76717,106.6673,1524803296,14847
10.76823,106.6669,1524803416,14848
10.76879,106.6666,1524803446,14848
10.77091,106.6658,1524803626,14850
10.7712,106.6657,1524803656,14850
10.77142,106.6655,1524803686,14850
10.77041,106.6659,1524798546,14852
10.76922,106.6664,1524798586,14852
10.76777,106.6671,1524798626,14853
10.76772,106.6672,1524798646,14853
10.76783,106.6711,1524798805,14855
10.76776,106.6722,1524798825,14855
10.766713,106.66739,1524820010,14856
10.767216,106.66728,1524820020,14856
10.767581,106.66719,1524820030,14856
10.767792,106.66714,1524820040,14856
10.768105,106.66699,1524820050,14856
10.768504,106.666794,1524820060,14856
10.769152,106.6665,1524820080,14856
10.769648,106.666275,1524820090,14856
10.771022,106.66575,1524820110,14857
10.771555,106.66554,1524820120,14857
10.772126,106.669556,1524820400,14858
10.77117,106.67006,1524820420,14858
10.770675,106.67014,1524820520,14859
10.770472,106.67026,1524820540,14859
10.768386,106.66823,1524820720,14861
10.768196,106.66781,1524820730,14861
10.768022,106.66747,1524820740,14861
10.767983,106.667175,1524820750,14861
10.768449,106.66683,1524820760,14861
10.76939,106.66641,1524820790,14861
10.769618,106.6663,1524820800,14861
10.770206,106.66607,1524820810,14861
10.771102,106.66574,1524820820,14861
10.772088,106.665306,1524820850,14861
10.772181,106.6695,1524821120,14862
10.7717905,106.66972,1524821130,14862
10.77127,106.66986,1524821170,14862
10.770307,106.67041,1524821210,14862
10.76974,106.67107,1524821260,14862
10.769339,106.671165,1524821270,14862
10.768862,106.67127,1524821280,14862
10.768118,106.67144,1524821330,14862
10.767916,106.67082,1524821350,14862
10.767942,106.670204,1524821380,14862
10.768165,106.66949,1524821400,14862
10.767873,106.66958,1524822120,14863
10.767852,106.67005,1524822130,14863
10.767776,106.67126,1524822160,14863
10.767766,106.671684,1524822170,14863
10.767745,106.67232,1524822180,14863
10.771677,106.66545,1524829990,14864
10.771399,106.66554,1524829994,14864
10.769945,106.666145,1524830022,14865
10.769669,106.66622,1524830032,14865
10.769379,106.66629,1524830038,14865
10.7691,106.666405,1524830047,14865
10.768273,106.6669,1524830063,14865
10.7676935,106.6671,1524830087,14865
10.767322,106.667206,1524830092,14865
10.766782,106.667336,1524830101,14865
10.766479,106.667404,1524830105,14865
10.765819,106.66757,1524830119,14865
10.767877,106.66709,1524794996,14868
10.767535,106.66712,1524795016,14868
10.766488,106.66741,1524795036,14868
10.77111,106.665596,1524801721,14869
10.77011,106.66597,1524801741,14869
10.769426,106.66618,1524801761,14869
10.769063,106.66638,1524801781,14869
10.768302,106.66673,1524801801,14869
10.767997,106.66686,1524801821,14869
10.769165,106.66986,1524812350,14872
10.769459,106.67037,1524812361,14872
10.769591,106.67061,1524812370,14872
10.767286,106.66637,1524827118,14875
10.7676735,106.66709,1524827128,14875
10.76809,106.66786,1524827138,14875
10.768885,106.66929,1524827158,14876
10.769207,106.66983,1524827168,14876
10.76804,106.66934,1524828290,14880
10.768073,106.668655,1524828369,14880
10.76821,106.668205,1524828379,14880
10.768554,106.66859,1524828389,14880
10.769192,106.66987,1524828409,14881
10.769796,106.67101,1524828466,14881
10.771985,106.66533,1524845882,14883
10.771153,106.66564,1524845892,14883
10.76963,106.666245,1524845912,14884
10.768884,106.666565,1524845922,14884
10.767716,106.667206,1524845942,14884
10.771395,106.66563,1524846235,14887
10.77181,106.66557,1524846244,14887
10.772126,106.66676,1524846274,14887
10.771722,106.66967,1524846337,14888
10.770853,106.66998,1524846378,14888
10.769727,106.67079,1524846408,14889
10.77009,106.67146,1524846418,14889
10.770574,106.6724,1524846428,14889
10.767465,106.667175,1524853350,14892
10.766625,106.66732,1524853360,14892
10.769747,106.670845,1524804781,14893
10.76919,106.669914,1524804801,14893
10.768677,106.66877,1524804821,14893
10.768106,106.66774,1524804841,14893
10.76743,106.66656,1524804862,14893
10.766748,106.66524,1524804882,14894
10.766505,106.66479,1524804901,14894
10.76626,106.66436,1524804941,14894
10.766506,106.66465,1524817240,14895
10.767081,106.66587,1524817290,14895
10.767172,106.666084,1524817300,14895
10.767271,106.66633,1524817310,14895
10.767352,106.66645,1524817320,14895
10.767531,106.66683,1524817330,14895
10.76748,106.66658,1524817350,14895
10.767336,106.66633,1524817360,14895
10.768779,106.66919,1524817690,14898
10.769397,106.670334,1524817740,14898
10.769714,106.67088,1524817770,14898
10.769411,106.671074,1524817780,14898
10.768071,106.67153,1524817940,14899
10.767951,106.67154,1524817950,14899
10.767844,106.67102,1524817960,14899
10.767859,106.67018,1524817970,14899
10.767993,106.66951,1524817990,14899
10.768143,106.66952,1524818170,14900
10.76811,106.66819,1524818200,14900
10.768189,106.667885,1524818210,14900
10.768159,106.66696,1524818240,14900
10.768801,106.66665,1524818260,14900
10.76663,106.66527,1524830551,14901
10.76708,106.66623,1524830581,14901
10.76629,106.66579,1524827336,14903
10.765725,106.665985,1524827346,14903
10.770556,106.6724,1524835564,14904
10.770079,106.67151,1524835584,14904
10.769815,106.67092,1524835619,14904
10.769105,106.66956,1524835649,14905
10.768804,106.66898,1524835659,14905
10.76851,106.668434,1524835669,14905
10.768245,106.66792,1524835679,14905
10.766851,106.66546,1524835729,14906
10.766485,106.66488,1524835739,14906
10.770618,106.67233,1524840172,14907
10.7700615,106.67126,1524840192,14907
10.76989,106.67095,1524840202,14907
10.769642,106.6705,1524840212,14907
10.768865,106.66897,1524840242,14908
10.768574,106.6684,1524840252,14908
10.768345,106.66794,1524840262,14908
10.768073,106.66744,1524840273,14908
10.767732,106.66715,1524843429,14912
10.767926,106.667984,1524843449,14912
10.767907,106.66872,1524843459,14912
10.767812,106.67107,1524843489,14913
10.7677965,106.671425,1524843522,14913
10.77009,106.66605,1524834150,14914
10.769575,106.66626,1524834160,14914
10.769053,106.66648,1524834170,14914
10.767751,106.66707,1524834220,14915
10.766599,106.66732,1524834250,14915
10.765678,106.6675,1524834260,14915
10.77005,106.67123,1524803167,14916
10.77,106.67113,1524803172,14916
10.769905,106.67095,1524803179,14916
10.76943,106.67019,1524803199,14916
10.769132,106.66963,1524803209,14916
10.768448,106.66842,1524803229,14917
10.768084,106.66776,1524803239,14917
10.766642,106.66509,1524803279,14918
10.766455,106.66476,1524803289,14918
10.766602,106.66518,1524796211,14919
10.767014,106.66591,1524796221,14919
10.769558,106.67059,1524796301,14920
10.769745,106.67096,1524796310,14920
10.765434,106.66499,1524869230,14923
10.766389,106.6655,1524869270,14923
10.766341,106.6657,1524869280,14923
10.767899,106.6668,1524807531,14925
10.767099,106.6658,1524807561,14925
10.76687,106.6653,1524807591,14925
10.771518,106.66552,1524820050,14927
10.772048,106.66532,1524820110,14927
10.77146,106.665535,1524864770,14928
10.770717,106.665825,1524864780,14928
10.770027,106.666084,1524864790,14928
10.76844,106.666756,1524864810,14929
10.767732,106.667175,1524864820,14929
10.767896,106.66769,1524864830,14929
10.767892,106.66933,1524864850,14930
10.7678795,106.670006,1524864860,14930
10.766228,106.664375,1524811000,14932
10.766565,106.66501,1524811010,14932
10.767058,106.665985,1524811030,14932
10.771306,106.66561,1524811140,14934
10.771964,106.665344,1524811160,14934
10.77216,106.66431,1524811210,14934
10.771142,106.66565,1524812700,14935
10.770653,106.66584,1524812710,14935
10.770202,106.666016,1524812720,14935
10.769571,106.665726,1524812750,14935
10.769407,106.66629,1524813170,14936
10.76926,106.66638,1524813180,14936
10.769389,106.67032,1524813350,14938
10.769996,106.67133,1524813380,14938
10.76709,106.66587,1524805509,14941
10.76677,106.66527,1524805516,14941
10.76652,106.66494,1524805530,14941
10.76637,106.66465,1524805547,14941
10.768323,106.66686,1524791970,14944
10.768713,106.66669,1524791980,14944
10.768897,106.66661,1524791990,14944
10.769319,106.66642,1524792000,14944
